faculty_Id,publication_Id
0,9379453
0,38697786
0,45886936
0,72949384
0,128007856
0,138430749
0,144621260
0,147663884
0,159560563
0,414863039
0,1136511103
0,1167790325
0,1486935304
0,1490968253
0,1497629672
0,1503224383
0,1508228089
0,1514105976
0,1518629952
0,1535457297
0,1537170576
0,1543457884
0,1547458974
0,1560992139
0,1564832586
0,1565999989
0,1570671995
0,1570913032
0,1576138320
0,1585016245
0,1605726620
0,1686957412
0,1847404207
0,1870237218
0,1885141799
0,1930962002
0,1971033226
0,1985418553
0,1987821235
0,2003383289
0,2010761065
0,2018354678
0,2018463030
0,2021499790
0,2030928154
0,2032545714
0,2032900028
0,2036194092
0,2047275537
0,2048723266
0,2056601022
0,2057347749
0,2064123234
0,2076938548
0,2078843467
0,2087402994
0,2092775680
0,2097379551
0,2099980910
0,2104152838
0,2108070501
0,2113159123
0,2114043354
0,2118506665
0,2121607994
0,2122013955
0,2133409295
0,2139838529
0,2142300461
0,2147459949
0,2151137293
0,2151446246
0,2155389771
0,2155755829
0,2167075585
0,2181695980
0,2183570523
0,2188154484
0,2281333985
0,2338675169
0,2486495971
0,2505178012
0,2521601500
0,2525460595
0,2575020676
0,2590700159
0,2792491666
0,2900024009
0,2902847683
0,2913905359
0,2984957981
1,2741600166
1,2767563557
1,2767720884
1,2908872804
1,2922023100
1,2952844358
1,2967289945
1,3027993363
1,3100403944
1,3101622575
2,25664821
2,45218706
2,65676325
2,130269760
2,138787272
2,156354643
2,157712030
2,166046872
2,167361754
2,1520511539
2,1968116929
2,1970517385
2,1971882778
2,1979889135
2,1982355466
2,1987902628
2,1996292746
2,2007476635
2,2014730252
2,2021869025
2,2024622349
2,2035080386
2,2036438040
2,2042170876
2,2044559999
2,2049064539
2,2050448951
2,2051917325
2,2053999255
2,2068543948
2,2069245506
2,2074093855
2,2082222857
2,2088160222
2,2089024363
2,2098150598
2,2118076222
2,2119768925
2,2137402550
2,2151372276
2,2153569957
2,2154418425
2,2167797964
2,2183156981
2,2229157217
2,2254204896
2,2269629783
2,2270904185
2,2303662668
2,2314419981
2,2325490498
2,2340153051
2,2373537127
2,2397636522
2,2444544770
2,2465757400
2,2475555533
2,2475806674
2,2476285885
2,2478041053
2,2478354787
2,2478913992
2,2479836097
2,2482051304
2,2482451094
2,2484103016
2,2484345801
2,2485982967
2,2488232472
2,2488444656
2,2491071162
2,2492660210
2,2493546065
2,2493770458
2,2495739078
2,2498938713
2,2500410535
2,2500462700
2,2500818440
2,2500850504
2,2502339983
2,2505466075
2,2506315080
2,2507072453
2,2555745567
2,2769686377
2,2775045356
2,2790106184
2,2801326557
2,2887666076
2,2903237845
2,2921480401
2,2943080260
2,2946352703
2,2946746299
2,2965423625
2,2976339636
2,2990689488
2,2995872593
2,3003074570
2,3004141020
2,3009491659
2,3009867679
2,3011875640
2,3023530019
2,3041597853
2,3046746438
2,3083888738
2,3099960888
2,3102070713
2,3103778089
2,3107316479
2,3116465862
2,3116915037
3,1533914088
3,2986407279
4,146324612
4,2011491452
4,2057949999
4,2299561166
4,2498412850
4,2537031054
4,2564856904
4,2602229646
4,2775587745
4,2791034507
4,2808110847
4,2900479912
4,2917413563
4,2964281551
4,2964590009
4,3010786541
5,1841910326
5,2083581777
5,2296105616
5,2296505857
5,2409625326
5,2444492025
5,2536648533
5,2542146885
5,2556278569
5,2567692034
5,2576718852
5,2604337820
5,2604944277
5,2783222622
5,2790533218
5,2793761508
5,2797785016
5,2897456688
5,2911250325
5,2950211925
5,2950827784
5,2950944366
5,2951866806
5,2956149237
5,2963036438
5,2963175601
5,2963270767
5,2963370879
5,2963693353
5,2998392339
5,3003238303
5,3006975632
6,1464193831
6,1973573211
6,1983235612
6,1996952511
6,2006197381
6,2047379549
6,2048441570
6,2079248286
6,2142119745
6,2142444503
6,2271604353
6,2412101011
6,2418692044
6,2513900365
6,2517869808
6,2528829870
6,2548265654
6,2549243276
6,2554192763
6,2611998574
6,2737860710
6,2746275123
6,2793599434
6,2794653104
6,2795326697
6,2799491947
6,2898977042
6,2904948956
6,2905075051
6,2905658624
6,2950142771
6,2951091066
6,2969362550
6,2979938104
6,2984139344
6,3010779417
6,3012032150
6,3017245021
6,3042418709
6,3089469538
6,3104613759
7,20432018
7,41657860
7,49450320
7,91336491
7,199511314
7,593458590
7,1482993605
7,1484000742
7,1484092460
7,1489913013
7,1490014251
7,1505796501
7,1509323564
7,1530590541
7,1563959012
7,1591563876
7,1726385401
7,1784183156
7,1846780041
7,1949933770
7,1954580868
7,1965492307
7,1966353357
7,1977722682
7,1997128351
7,2021467910
7,2031284254
7,2036382534
7,2038886039
7,2053505917
7,2053510768
7,2055287110
7,2067463757
7,2069730675
7,2075490956
7,2079906829
7,2087748018
7,2095917530
7,2096252658
7,2096843787
7,2102840360
7,2103339842
7,2107424505
7,2107561541
7,2108715323
7,2109272260
7,2110928458
7,2113092877
7,2118129665
7,2118662970
7,2119003854
7,2120517377
7,2123358188
7,2124381747
7,2126835091
7,2135142990
7,2135452706
7,2136685010
7,2139386234
7,2144773448
7,2147976131
7,2148480551
7,2153758492
7,2153976524
7,2156940341
7,2157151824
7,2157789269
7,2158458407
7,2159685251
7,2160491751
7,2163652158
7,2183255032
7,2278523429
7,2294142792
7,2324303576
7,2560860911
7,2561744082
7,2563916272
7,2566550847
7,2573733045
7,2617602457
7,2655760278
7,2711898527
7,2733125469
7,2777482913
7,2784330536
7,2804204477
7,2888753267
7,2939775300
7,2950158313
7,2986407279
7,3007798423
7,3016614282
9,3013987090
10,20738274
10,44390635
10,75253197
10,136306550
10,164012283
10,1487974501
10,1534273334
10,1578993980
10,1594297270
10,1976519552
10,1980427518
10,1981039871
10,1982087768
10,1999024797
10,2016670346
10,2040751338
10,2047721615
10,2049974290
10,2077752576
10,2079628411
10,2084186221
10,2088118089
10,2088881513
10,2092385994
10,2092757068
10,2101549458
10,2109348499
10,2112985838
10,2128542194
10,2162737890
10,2163282966
10,2169316026
10,2617290144
10,2917855109
10,3017110185
10,3027460683
11,20738274
11,83221080
11,1557232271
11,1568564406
11,1584225676
11,1590236451
11,1596145793
11,1696217521
11,1699433063
11,1799181528
11,1964122991
11,1970706191
11,1971589407
11,1973715486
11,1981968369
11,1985822906
11,1986231430
11,1988237135
11,1988504451
11,1991580673
11,1995263003
11,1995398701
11,1999978590
11,2003374237
11,2003600644
11,2006033216
11,2012478740
11,2012918976
11,2021355755
11,2022606484
11,2027272808
11,2031658133
11,2034467275
11,2039252979
11,2040292704
11,2045371716
11,2045511600
11,2050849738
11,2051074457
11,2052117109
11,2054203218
11,2058233213
11,2058885962
11,2064757990
11,2067546761
11,2068483897
11,2069989917
11,2072800931
11,2076766986
11,2082049784
11,2087390453
11,2091561313
11,2092211970
11,2096575864
11,2099233660
11,2100684961
11,2101018255
11,2101520935
11,2104525643
11,2110830275
11,2114000996
11,2118765159
11,2119590703
11,2122122919
11,2126187428
11,2128935842
11,2131844183
11,2132072919
11,2141346004
11,2142037850
11,2142308804
11,2142588528
11,2148091810
11,2149197043
11,2149856994
11,2149991184
11,2152501698
11,2153150656
11,2156808151
11,2157381266
11,2157819672
11,2158957441
11,2159786721
11,2162218601
11,2162333578
11,2162935755
11,2163975141
11,2164387888
11,2166155019
11,2166438308
11,2166490593
11,2167033550
11,2169475202
11,2181364492
11,2181841170
11,2185973069
11,2186098315
11,2188292555
11,2245189809
11,2291698303
11,2293247967
11,2343361402
11,2362396924
11,2470246261
11,2473478803
11,2484633232
11,2484707239
11,2498941882
11,2559871331
11,2564402172
11,2583198652
11,2585584951
11,2592002261
11,2600164692
11,2626503426
11,2729363167
11,2734387184
11,2736305332
11,2761717675
11,2762061689
11,2766103888
11,2767011558
11,2793527415
11,2793958334
11,2807834407
11,2808057729
11,2881150236
11,2885079409
11,2885780344
11,2889189965
11,2889727957
11,2894413690
11,2903885888
11,2904819746
11,2911401750
11,2920767801
11,2963910545
11,2965921687
11,2979520103
11,2982516999
11,2985384323
11,2995271548
11,3020960644
11,3086802555
11,3107994934
11,3111509091
12,99415737
12,204109643
12,1542929703
12,1567923358
12,1569410382
12,1593221944
12,1795239726
12,1831615654
12,1843549005
12,1981976566
12,2001280190
12,2060398878
12,2101363765
12,2106863923
12,2112058620
12,2114965699
12,2118653625
12,2119100365
12,2119222198
12,2146075131
12,2154165851
12,2290740177
12,2325213220
12,2599653066
12,2742405391
12,2750686086
12,2792220137
12,2914329808
12,2944211469
12,2947767244
12,2949399620
12,2950551180
12,2951287706
12,2952156175
12,2952425406
12,2952925381
12,2956619112
12,2960384599
12,2962961667
12,2962977541
12,2964204801
12,3013077068
12,3035252201
12,3047494720
12,3088147970
12,3092866809
12,3095068464
12,3097984729
12,3108526823
12,3110137956
13,3417300
13,118400672
13,126863081
13,179076761
13,1476716791
13,1537879931
13,1545861529
13,1564764729
13,1604554365
13,1606320535
13,1904084847
13,1974594196
13,2027272808
13,2040505647
13,2050849738
13,2063813041
13,2067546761
13,2067690921
13,2071698746
13,2077651522
13,2093926758
13,2101520935
13,2104657912
13,2110315393
13,2110830275
13,2112379629
13,2122122919
13,2124966619
13,2133841960
13,2135670587
13,2149856994
13,2152931598
13,2158957441
13,2159786721
13,2172132279
13,2337591004
13,2503253467
13,2613009137
13,2803858411
13,2920979195
13,3020960644
14,1658739283
14,1964424075
14,2061445336
14,2280946621
14,2467908049
14,2506226457
14,2526709019
14,2529912552
14,2573698723
14,2620330296
14,2736037813
14,2810027437
14,2829263143
14,2902217519
14,2909571085
14,2948151348
14,2949457227
14,2951729683
14,2955939117
14,2963894653
14,3047139163
14,3114995191
15,1481416542
15,1583835419
15,1710825646
15,1855087183
15,1969597765
15,1982909966
15,1983954705
15,1985018311
15,1987938558
15,1992099330
15,1993387728
15,1993843120
15,2000673591
15,2008966759
15,2013488655
15,2013947191
15,2014091969
15,2016216623
15,2017522196
15,2024688693
15,2027480687
15,2028380308
15,2032433496
15,2033004732
15,2039882359
15,2040436296
15,2048887078
15,2050161897
15,2060689071
15,2076866125
15,2081927584
