publication_id,keyword_id,score,pub_id,kw_id
1032261,32941,0.362943,p1032261,k32941
1032261,80395,0.260614,p1032261,k80395
1032800,401,0.191743,p1032800,k401
1032800,1514,0.29115,p1032800,k1514
1032800,8263,0.276599,p1032800,k8263
1032800,8621,0.347896,p1032800,k8621
1032800,8661,0.254374,p1032800,k8661
1032800,14166,0.269864,p1032800,k14166
1032800,15657,0.4843,p1032800,k15657
1032800,50260,0.263847,p1032800,k50260
1032800,51190,0.248478,p1032800,k51190
1037598,26,0.602483,p1037598,k26
1037598,448,0.00406868,p1037598,k448
1037598,522,0.00704105,p1037598,k522
1037598,5437,0.00551791,p1037598,k5437
1037598,7044,0.0041601,p1037598,k7044
1037598,21337,0.00780252,p1037598,k21337
1037598,28811,0.434251,p1037598,k28811
1072239,693,0.610161,p1072239,k693
1072239,935,0.333921,p1072239,k935
1072239,4098,0.218521,p1072239,k4098
1072239,5271,0.00143169,p1072239,k5271
1072239,6055,0.586776,p1072239,k6055
1072239,6238,0.00812886,p1072239,k6238
1072239,22467,0.00529046,p1072239,k22467
1072239,23916,0.629272,p1072239,k23916
1072239,38541,0.00250334,p1072239,k38541
